date,latitude,longitude,time,uv_index,cloud_cover,temp_f,humidity,wind_direction_degrees,wind_speed_kmph,pressure_mb,percipitation_mm,visualbility_km,moon_phase,dayofyear,species,angler
20060610,44.60690713,-110.383544,,,,,,,,,,,,,,
20120407,47.40343475,-121.8989105,2012-04-07 22:51:42 UTC,0,11,58,58,90,12,1023,0,10,0.979430464,98,Oncorhynchus clarkii,harvestman
20120428,39.17080572,-123.0098361,2012-04-28 21:00:38 UTC,0,17,66,79,320,17,1019,0,10,0.444663135,119,Oncorhynchus mykiss,williamshailey6
20080316,-53.85474539,-68.25137619,,,,,,,,,,,,,,
20121218,-45.11162517,167.9542947,2012-12-18 06:15:41 UTC,0,60,65,84,177,4,1007,9.8,7,0.301520321,353,Salmo trutta,mccain
20121219,-45.1031443,167.9620194,2012-12-19 07:33:52 UTC,0,26,68,67,286,10,1010,0.2,9,0.409295706,354,Salmo trutta,mccain
20121224,-45.50489566,168.1286579,2012-12-24 07:21:00 UTC,0,29,77,73,273,3,1020,0,6,0.856920596,359,Salmo trutta,mccain
20121224,-45.890949,168.2763588,2012-12-24 07:12:54 UTC,0,19,70,83,114,6,1020,0,8,0.856550774,359,Salmo trutta,mccain
20121224,-45.890949,168.2763588,2012-12-24 07:12:03 UTC,0,19,70,83,114,6,1020,0,8,0.856511942,359,Salmo trutta,mccain
20121219,-45.09490454,167.9687142,2012-12-18 14:29:52 UTC,0,26,68,67,286,10,1010,0.2,9,0.336223716,353,Salmo trutta,mccain
20121221,-45.10411361,167.9597878,2012-12-21 10:03:41 UTC,0,45,64,78,281,10,1007,4.6,9,0.62069032,356,Salmo trutta,mccain
20120923,-53.96054833,-70.06027333,2012-09-22 16:53:33 UTC,0,12,38,71,220,37,1014,0,10,0.488795808,266,Salmo trutta,mccain
20130303,38.61316667,-122.7828333,2013-03-03 19:39:41 UTC,0,27,60,78,240,7,1019,0,9,0.625068773,62,Oncorhynchus mykiss,loarie
20130330,38.043891,-122.749561,2013-03-30 20:20:56 UTC,0,49,64,86,200,10,1019,0,9,0.850746727,89,Oncorhynchus mykiss,chrispincetich
20130511,43.10166667,-72.76633333,2013-05-11 13:21:04 UTC,0,86,64,90,187,14,1006,15.8,7,0.021888626,131,Salvelinus fontinalis,mspickvt
20130515,30.275487,-97.813674,2013-05-15 16:09:43 UTC,0,65,78,85,173,23,1016,5.8,9,0.265109251,135,Salmo trutta,chriscanter
20121209,38.61866667,-121.3068333,2012-12-09 22:36:45 UTC,0,2,64,68,341,10,1020,0,10,0.164336642,344,Oncorhynchus tshawytscha,snakeinmypocket
20130521,44.83016667,-111.5136667,2013-05-21 19:15:51 UTC,0,13,60,64,184,12,1014,0,10,0.847885597,141,Salmo trutta,fishmav
20130519,38.00266667,-111.4701667,2013-05-19 17:50:28 UTC,0,17,45,61,235,11,1016,3.4,10,0.656856859,139,Oncorhynchus clarkii,johndavis
20130605,32.79333333,-116.902,2013-06-05 20:21:24 UTC,0,0,66,64,267,9,1014,0,10,0.071834461,156,Oncorhynchus mykiss,snakeinmypocket
20130614,44.563039,-84.485507,2013-06-15 01:22:16 UTC,0,4,70,61,340,9,1018,0,10,0.334358036,166,Salvelinus fontinalis,jwhittle
20130623,40.9195,-121.5525,2013-06-23 18:19:40 UTC,0,46,71,56,245,13,1008,0.1,10,0.997533413,174,Oncorhynchus mykiss,chriswbrown
20130702,38.799852,-117.398872,2013-07-02 17:50:36 UTC,0,17,98,24,92,9,1014,1.3,10,0.25626721,183,Salmo trutta,biosam
20130318,34.42472,-119.810717,2013-03-18 17:30:00 UTC,0,11,62,65,200,8,1016,0,9,0.407427062,77,Oncorhynchus mykiss irideus,photon-hog
20130803,38.612218,-122.778043,2013-08-04 00:19:51 UTC,0,2,88,53,204,7,1013,0,10,0.077423321,216,Oncorhynchus mykiss,kueda
20130802,43.61066667,-110.4263333,2013-08-03 01:28:53 UTC,0,11,74,43,252,14,1013,0.8,10,0.131861153,215,Prosopium williamsoni,connoromalley92
20130824,43.54583333,-110.5998333,2013-08-25 01:56:50 UTC,0,25,75,72,211,8,1012,7.4,10,0.80912033,237,Oncorhynchus clarkii,connoromalley92
20130904,41.82644,-115.419994,2013-09-05 03:43:53 UTC,0,8,83,46,189,9,1012,1.7,10,0.002563565,248,Oncorhynchus mykiss,biosam
20131005,40.15322833,-79.21575333,2013-10-05 17:43:32 UTC,0,40,82,82,239,8,1017,2.6,9,0.006290185,278,Salvelinus fontinalis,cullen
20130909,43.6745,-72.80716667,2013-09-09 21:09:50 UTC,0,12,69,66,222,8,1020,0,10,0.20483452,252,Salvelinus fontinalis,alicia
20131116,32.856791,-117.006826,2013-11-16 18:56:20 UTC,0,33,63,78,219,10,1009,0.1,10,0.99278786,320,Oncorhynchus mykiss,finatic
20131123,47.711669,-122.377409,2013-11-23 19:30:00 UTC,0,11,59,51,236,5,1027,0,10,0.687405792,327,Oncorhynchus kisutch,alileighlilly
20130801,38.64401389,-123.0344587,2013-08-01 22:17:32 UTC,0,6,83,66,288,13,1016,0,10,0.211855959,213,Oncorhynchus kisutch,tunefultoad
20140425,47.790827,-117.529715,2014-04-25 23:20:29 UTC,0,47,56,73,197,8,1008,1.2,10,0.12893721,115,Prosopium williamsoni,fisherray
20140331,47.793218,-117.532392,2014-03-31 19:47:40 UTC,0,13,56,68,108,7,1012,0.1,10,0.01420119,90,Oncorhynchus mykiss,fisherray
20140606,63.378845,-148.8547967,2014-06-06 23:20:14 UTC,0,30,58,59,176,11,1012,0.3,9,0.608504505,157,Thymallus arcticus arcticus,tikaani
20140901,40.07742217,-111.40083,2014-09-01 16:45:23 UTC,0,1,80,47,255,6,1014,0,10,0.419614486,244,Oncorhynchus clarkii utah,utfisher
20140912,43.077661,-76.263404,2014-09-12 20:57:18 UTC,0,12,61,78,345,10,1023,0,10,0.813088855,255,Salmo trutta,jmfarrell
20140913,43.045838,-76.237822,2014-09-13 16:38:19 UTC,0,47,60,91,218,12,1021,9.4,8,0.738195993,256,Salmo trutta,jabateman
20120121,-43.528538,172.620544,2012-01-21 04:14:00 UTC,0,24,71,72,57,15,1011,0,10,0.055725773,21,Salmo trutta,jon_sullivan
20101016,-43.785362,172.830521,2010-10-15 23:40:00 UTC,0,7,71,74,105,13,1004,0,9,0.607590166,288,Salmo trutta fario,jon_sullivan
20130130,-42.516856,172.384316,2013-01-30 05:46:41 UTC,0,8,69,44,315,11,1022,0,10,0.904194144,30,Salmo trutta,jon_sullivan
20130414,-42.573476,171.468237,2013-04-13 21:57:41 UTC,0,63,49,90,316,13,1021,0.4,6,0.115977338,103,Salmo trutta,jon_sullivan
20131019,-43.563956,172.632996,2013-10-19 04:26:51 UTC,0,11,69,69,336,12,1022,0,10,0.999530492,292,Salmo trutta,jon_sullivan
20140921,38.06057667,-122.1934953,2014-09-21 22:50:29 UTC,0,15,83,76,245,11,1015,0,8,0.04928581,264,Oncorhynchus tshawytscha,coffearobusta42
20141008,37.724603,-119.53258,2014-10-08 19:52:02 UTC,0,2,73,41,251,6,1011,0,10,0.998111104,281,Oncorhynchus mykiss,faerthen
20141031,57.995923,14.431235,2014-10-31 15:15:57 UTC,0,64,46,78,168,8,1024,0.3,10,0.561820991,304,Salmo trutta,cullen
20130707,43.97367,-73.034,2013-07-07 14:03:33 UTC,0,28,79,85,229,9,1017,5.7,10,0.005833694,188,Salvelinus fontinalis,danbeaupre
20090516,48.753649,-122.453517,2009-05-16 17:58:45 UTC,0,31,71,66,239,4,1020,0,10,0.557095721,136,Oncorhynchus kisutch,sarabrooke
20141129,38.004962,-122.70978,2014-11-29 23:22:28 UTC,0,80,61,88,149,17,1010,38.3,8,0.564916702,333,Oncorhynchus kisutch,danielgeorge
20141214,38.057049,-121.364115,2014-12-14 23:24:05 UTC,0,32,58,82,126,6,1019,0,10,0.459768084,348,Oncorhynchus mykiss,dwest
20141230,-43.52847,172.620353,2014-12-29 21:17:32 UTC,0,9,84,67,184,15,1014,0,10,0.624389732,363,Salmo trutta,jon_sullivan
20130917,48.901992,-121.910969,2013-09-18 05:10:50 UTC,0,63,64,87,254,5,1010,1.2,5,0.978232191,261,Oncorhynchus gorbuscha,tosteve
20150420,37.27560833,-122.2844133,2015-04-20 19:42:36 UTC,0,30,73,80,256,8,1010,0,7,0.058120557,110,Oncorhynchus kisutch,dpom
20150427,38.604495,-122.882366,2015-04-27 17:52:20 UTC,0,14,85,58,282,9,1016,0,10,0.666408726,117,Oncorhynchus kisutch,nelruzam
20150427,-42.468505,172.397697,2015-04-26 23:46:27 UTC,0,97,51,96,101,12,994,46.8,6,0.597428986,116,Salmo trutta,jon_sullivan
20141118,48.61508,-122.440224,2014-11-18 18:05:46 UTC,0,31,56,50,74,7,1020,0,10,0.146006799,322,Oncorhynchus keta,tosteve
20150222,-41.11586117,175.0614778,2015-02-22 01:42:51 UTC,0,75,69,86,279,13,1022,2.9,9,0.136221553,53,Salmo trutta,moynihac
20150524,36.82415,-107.6403283,2015-05-24 21:42:27 UTC,0,38,66,57,274,14,1011,4.1,7,0.424737954,144,Salmo trutta,danjleavitt
20150523,46.657948,-121.360165,2015-05-24 01:23:56 UTC,0,77,59,90,303,7,1017,5.9,8,0.345344774,144,Oncorhynchus mykiss,rivermalisha
20150523,46.657948,-121.360165,2015-05-23 20:34:35 UTC,0,77,59,90,303,7,1017,5.9,8,0.326822175,143,Oncorhynchus mykiss,rivermalisha
20150523,46.657948,-121.360165,2015-05-23 20:09:16 UTC,0,77,59,90,303,7,1017,5.9,8,0.325209766,143,Oncorhynchus mykiss,rivermalisha
20150221,37.92453833,-122.247375,2015-02-22 00:18:09 UTC,0,9,75,72,124,5,1013,0,10,0.131453453,53,Oncorhynchus mykiss,amarsh
20150531,-40.38085833,175.6174,2015-05-31 09:36:20 UTC,0,40,60,82,197,6,1021,0.1,10,0.944764326,151,Salmo trutta,adzebill
20150529,41.572121,-71.720738,2015-05-29 21:25:58 UTC,0,5,80,75,128,12,1024,0,10,0.858188453,149,Salvelinus fontinalis,stevezakur
20150605,37.89609722,-122.7091194,2015-06-05 16:14:34 UTC,0,14,74,81,221,10,1009,0,8,0.893329982,156,Oncorhynchus mykiss,kestrel
20150607,43.451919,-73.325779,2015-06-07 11:38:00 UTC,0,13,77,59,200,8,1020,0,10,0.739379741,158,Salmo trutta,adkbrookie
20150609,38.5586,-79.614583,2015-06-09 20:16:00 UTC,0,38,71,77,285,15,1009,2,7,0.479690229,160,Salvelinus fontinalis,benzintr
20150614,44.241662,19.887854,2015-06-14 09:43:57 UTC,0,20,95,56,104,6,1013,2.1,10,0.058828458,165,Salmo trutta,alderash
20150608,46.402118,13.706025,2015-06-08 08:53:07 UTC,0,14,78,69,114,8,1018,2.2,10,0.64659096,159,Salmo marmoratus,trcarlisle
20150610,40.476007,-76.622171,2015-06-10 20:53:52 UTC,0,8,84,73,223,13,1011,0,10,0.363339987,161,Salvelinus fontinalis,troutbum1374
20150610,40.47617833,-76.62301667,2015-06-10 21:14:46 UTC,0,8,84,73,223,13,1011,0,10,0.361734189,161,Salmo trutta,troutbum1374
20150610,40.47618833,-76.62297833,2015-06-10 21:27:56 UTC,0,8,84,73,223,13,1011,0,10,0.360723369,161,Salvelinus fontinalis,troutbum1374
20150204,40.27304667,-76.41403833,2015-02-04 14:30:40 UTC,0,69,40,87,189,8,1021,0,10,0.995275214,35,Salmo trutta,troutbum1374
20141203,40.273195,-76.41400833,2014-12-03 18:41:22 UTC,0,65,51,92,233,15,1022,2,7,0.915832731,337,Salmo trutta,troutbum1374
20150701,41.72163,-77.786422,2015-07-01 18:30:00 UTC,0,79,73,91,254,12,1010,1,3,0.996806602,182,Salvelinus fontinalis,drosatti
20150701,41.72163,-77.786422,2015-07-01 18:30:00 UTC,0,79,73,91,254,12,1010,1,3,0.996806602,182,Salvelinus fontinalis,drosatti
20150708,40.47622,-76.62300833,2015-07-08 20:57:19 UTC,0,89,78,92,272,8,1015,12,7,0.498686739,189,Salvelinus fontinalis,troutbum1374
20150621,40.27315333,-76.41400333,2015-06-21 22:11:40 UTC,0,37,90,81,294,18,1008,24.9,9,0.270270725,172,Salmo trutta,troutbum1374
20150712,40.29615333,-76.42939667,2015-07-12 18:07:39 UTC,0,9,90,63,190,5,1017,0,10,0.119512363,193,Salmo trutta,troutbum1374
20150626,46.642987,-121.387391,2015-06-26 19:54:28 UTC,0,3,88,55,242,3,1015,0,10,0.720554336,177,Oncorhynchus mykiss,rivermalisha
20150626,46.642987,-121.387391,2015-06-26 20:40:59 UTC,0,3,88,55,242,3,1015,0,10,0.723384974,177,Oncorhynchus mykiss,rivermalisha
20150614,46.553662,-118.175587,2015-06-14 17:07:14 UTC,0,0,81,34,52,11,1013,0,10,0.043871997,165,Oncorhynchus mykiss,rivermalisha
20150720,40.60269167,-76.39493667,2015-07-20 23:46:07 UTC,0,36,89,74,304,11,1007,1.8,10,0.217182401,201,Salvelinus fontinalis,troutbum1374
20150720,40.60262167,-76.39506667,2015-07-20 23:48:42 UTC,0,36,89,74,304,11,1007,1.8,10,0.217322448,201,Salvelinus fontinalis,troutbum1374
20130807,39.606315,-120.633202,2013-08-07 18:07:38 UTC,0,15,76,35,262,14,1016,0,10,0.009046061,219,Oncorhynchus mykiss,dpom
20150725,38.706805,-120.083375,2015-07-25 19:03:33 UTC,0,1,71,48,233,13,1016,0,10,0.657428614,206,Oncorhynchus mykiss,nawloomis
20150801,46.48112346,-122.7355929,2015-08-01 12:57:28 UTC,0,16,96,54,346,6,1014,0,10,0.982339839,213,Oncorhynchus mykiss,rivermalisha
20150809,47.71298667,14.83156833,2015-08-09 10:26:30 UTC,0,9,87,64,158,8,1017,0,10,0.255790139,221,Salmo trutta,markkir
20150729,47.48739,-117.575762,2015-07-30 03:34:57 UTC,0,2,89,24,223,13,1018,0,10,0.975030419,211,Oncorhynchus mykiss,red_wolf
20150815,40.51895333,-76.47715,2015-08-15 21:12:15 UTC,0,25,89,69,237,5,1020,1.2,10,0.015236705,227,Salvelinus fontinalis,troutbum1374
20150812,44.12782362,-121.333968,2015-08-13 03:24:44 UTC,0,0,91,44,228,7,1014,0,10,0.022811428,225,Oncorhynchus mykiss,rivermalisha
20150812,44.12766287,-121.3341897,2015-08-13 03:28:30 UTC,0,0,91,44,228,7,1014,0,10,0.02273488,225,Oncorhynchus mykiss,rivermalisha
20140902,46.645312,-60.952857,2014-09-02 15:39:38 UTC,0,58,71,86,149,10,1015,0.1,10,0.521944217,245,Salmo trutta,cdorsay
20150801,40.920758,-109.438806,2015-08-01 19:06:05 UTC,0,14,88,21,114,7,1014,0,10,0.973607459,213,Salmo trutta,cmus
20150903,44.25262,-114.4938283,2015-09-03 18:10:33 UTC,0,55,63,43,238,13,1009,0,10,0.681297078,246,Oncorhynchus clarkii lewisi,cullen
20150828,47.17064528,-122.2180329,2015-08-28 17:05:04 UTC,0,90,69,66,215,6,1013,0.9,8,0.982113201,240,Oncorhynchus gorbuscha,rivermalisha
20150916,41.29726407,-75.6261768,2015-09-16 15:33:53 UTC,0,15,84,72,307,3,1026,0,10,0.09960881,259,Salmo trutta,jbwitten
20150916,41.30035791,-75.63392803,2015-09-16 16:12:40 UTC,0,15,84,72,307,3,1026,0,10,0.1011537,259,Salvelinus fontinalis,jbwitten
20150916,41.29924246,-75.63077415,2015-09-16 16:31:55 UTC,0,15,84,72,307,3,1026,0,10,0.101924492,259,Salvelinus fontinalis,jbwitten
